Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
160,KANYAKUMARI DISTRICT CENTRAL COOPERATIVE BANK,0.20,3.01,0.11,3.54,,
161,KARNATAKA BANK,1010.31,14178.33,469.97,12228.95,,
162,KARNATAKA GRAMIN BANK (ERSTWHILE PRAGATHI KRISHNA GRAMIN BANK),246.19,3627.46,127.47,3115.81,,
163,KARNATAKA MAHILA SAHAKARA BANK NIYAMITHA,0.24,5.15,0.14,4.94,,
164,KARNATAKA VIKAS GRAMEENA BANK,122.13,1187.34,60.70,1101.65,,
165,KARUR VYSYA BANK,634.42,13209.38,356.52,12078.62,,
166,KASHMIR MERCANTILE CO OPERATIVE BANK LTD,0.27,2.84,0.18,3.46,,
167,KERALA GRAMIN BANK,275.79,3261.30,154.41,2815.03,,
168,KHARDAH COOPERATIVE BANK LTD,0.03,0.29,0.02,0.28,,
169,KOKAN MERCANTILE CO-OP. BANK LTD.,7.35,108.28,3.72,95.37,,
170,KOLHAPUR DIST. CENTRAL CO-OP. BANK LTD.,9.20,110.73,2.74,85.41,,
171,KOLHAPUR MAHILA SAHAKARI BANK LTD. KOLHAPUR,0.27,3.44,0.18,3.75,,
172,KOTAK MAHINDRA BANK,6707.33,72936.98,2733.62,60962.05,,
173,KOTAK MAHINDRA BANK CREDIT CARD,66.87,554.41,0.00,0.08,,
174,KOTTAYAM CO-OPERATIVE URBAN BANK LTD,0.13,2.21,0.13,2.29,,
175,KOYANA SAHAKARI BANK LTD  KARAD,0.21,2.87,0.16,2.31,,
176,KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK,2.44,32.56,1.67,33.87,,
177,KRISHNA MERCANTILE CO-OP BANK LTD,0.01,0.07,0.00,0.17,,
178,LAKHIMPUR URBAN COOPERATIVE BANK LTD,0.03,0.30,0.02,0.53,,
179,LAXMI URBANCOOP BANK LTD LATUR,0.37,8.33,0.24,7.93,,
180,"LIC EMPLOYEES CO-OPERATIVE BANK LTD,UDUPI",0.02,0.46,0.01,0.32,,
181,LILUAH CO-OPERATIVE BANK LTD,0.12,1.66,0.07,2.21,,
182,LIVQUIK TECHNOLOGY INDIA PVT LTD,1.54,26.58,0.51,8.51,,
183,LOKMANGAL CO OP BANK LTD SOLAPUR,0.66,9.81,0.34,11.34,,
184,LOKVIKAS NAGARI SAHAKARI BANK LTD AURANGABAD,0.22,3.23,0.10,3.00,,
185,LONAVALA SAHAKARI BANK LTD,1.75,22.10,1.04,21.44,,
186,M S CO-OPERATIVE BANK LIMITED,0.04,0.99,0.03,1.19,,
187,MADHYA PRADESH RAJYA SAHAKARI BANK MARYADIT,0.97,11.06,0.39,9.40,,
188,MADURAI DISTRICT CENTRAL COOPERATIVE BANK,0.77,10.65,0.43,11.10,,
189,MAHALAKSHMI CO-OPERATIVE BANK LIMITED,0.11,1.42,0.05,1.05,,
190,MAHANAGAR CO-OPERATIVE BANK,17.99,288.79,6.67,211.41,,
191,MAHANAGAR NAGRIK SAHAKARI BANK MARYADIT,0.39,7.95,0.28,7.31,,
192,MAHARASHTRA GRAMIN BANK,218.80,2701.84,114.64,2327.18,,
193,MAHARASHTRA NAGARI SAHAKARI BANK MARYADIT LATUR,0.09,2.39,0.08,2.00,,
194,MAHATMA FULE URBAN COOP BANK LTD AMRAVATI,0.21,5.15,0.13,4.26,,
